1,47.888,46.9,49.735,46.11,45.3,33.655,36.455,39.61
8,47.9266,47.65,50.485,46.86,45.675,34.505,37.305,40.41
14,48.1,47.65,50.485,47.11,45.925,34.78,37.255,40.175
21,48.0446,48.1,50.935,45.26,45.925,34.105,36.905,42.535
29,48.0615,48.675,51.785,46.685,44.65,34.405,37.305,42.875
36,48.082,49.675,52.785,47.235,45.525,35.035,37.83,43.46
42,48.0747,49.15,51.26,48.01,46.84,35.73,37.73,43.885
50,48.0811,49.4,51.51,48.635,46.9,36.23,38.23,43.71
57,48.0576,49.05,52.36,49.06,47.325,36.78,38.78,44.21
64,48.4454,49.8,53.11,48.51,46.25,36.905,39.405,44.76
71,48.9781,51,54.31,49.51,47.375,38.43,40.505,45.81
78,48.5781,52,55.31,50.51,48.35,39.255,41.405,46.66
85,48.4925,51.9,55.21,50.385,48.2,39.235,41.48,46.46
92,48.6808,53.15,54.835,51.635,49.575,40.1,42.15,46.885
99,48.6249,53.15,54.835,51.635,49.575,39.8,42.425,47.085
106,48.4861,51.95,53.635,50.435,48.375,38.55,40.95,45.46
113,48.5932,52.6,54.285,50.76,48.7,38.6,41,45.51
120,48.4563,52.35,54.035,50.635,48.75,38.6,41.03,45.46
127,48.385,52.95,54.635,51.235,49.325,39.275,41.6,45.835
134,48.3041,53.4,55.085,51.685,49.775,39.525,41.95,46.485
141,47.95,53.6,55.285,50.5,51.7,40.7,42.3,46.835
148,47.7807,54.35,56.035,52.26,51.685,35.875,38.3,47.61
155,47.9108,54.15,55.835,52.985,50.6,40.775,43.45,47.96
162,48.0498,54.3,55.985,53.06,50.675,40.9,43.675,47.885
169,47.8146,55.1,56.785,54.235,52.175,41.705,44,47.935
176,47.7583,54.935,56.985,53.68,51.27,41.65,44.475,48.455
183,48.3818,55.4361,57.005,53.68,51.6,41.805,44.655,48.755
190,48.5893,56.185,56.625,53.95,51.875,42.035,44.875,49.405
197,49.2152,58.46,57.625,54.45,52.375,42.385,45.55,49.855
204,50.2266,59.06,58.225,55.525,53.45,42.885,45.925,50.43
211,50.1996,60.21,59.375,56.175,54.6,43.385,46.6,50.48
218,50.0365,60.31,59.475,56,54.5,43.815,47.05,50.955
224,50.2307,59.56,58.725,55.25,53.75,43.425,46.4,50.845
232,50.335,60.61,59.775,56.165,54.665,43.895,46.5,50.88
239,50.434,59.96,59.125,56.275,54.775,43.7,45.8,50.13
